HTTrack3.49-2 launched on Mon, 04 Jul 2022 12:03:49 at https://www.vatican.va/
(/usr/bin/httrack -iC1 -r6 https://www.vatican.va/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:03:52	Warning: 	Found for https://www.vatican.va/
13:42:34	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-xiv.pdf
13:42:47	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/urbano-vii.pdf
13:43:01	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/sisto-v.pdf
13:43:16	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-xiii.pdf
13:43:29	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-v.pdf
13:43:43	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-iv.pdf
13:43:56	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/paolo-iv.pdf
13:44:09	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/marcello-ii.pdf
13:44:24	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giulio-iii.pdf
13:44:36	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/paolo-iii.pdf
13:44:51	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/clemente-vii.pdf
13:45:04	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/adriano-vi.pdf
13:45:18	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-x.pdf
13:45:32	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giulio-ii.pdf
13:45:48	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-iii.pdf
13:46:03	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/alessandro-vi.pdf
13:46:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/innocenzo-viii.pdf
13:46:33	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/sisto-iv.pdf
13:46:48	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/paolo-ii.pdf
13:47:03	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-ii.pdf
13:47:16	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/callisto-iii.pdf
13:47:30	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/niccolo-v.pdf
13:47:45	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/eugenius-iv/it.pdf
13:48:17	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/martino-v.pdf
13:48:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-xii.pdf
13:49:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/innocenzo-vii.pdf
13:49:24	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/bonifacio-ix.pdf
13:49:38	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/urbano-vi.pdf
13:49:52	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-xi.pdf
13:50:05	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/urbano-v.pdf
13:50:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/innocenzo-vi.pdf
13:50:36	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/clemens-vi/it.pdf
13:50:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/benedictus-xii/it.pdf
13:51:17	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xxii.pdf
13:51:31	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/clemente-v.pdf
13:51:44	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-xi.pdf
13:51:58	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/bonifacio-viii.pdf
13:52:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/celestino-v.pdf
13:52:24	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/niccolo-iv.pdf
13:52:39	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/onorio-iv.pdf
13:52:54	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/martino-iv.pdf
13:53:10	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/niccolo-iii.pdf
13:53:24	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xxi.pdf
13:53:37	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/adriano-v.pdf
13:53:52	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/innocenzo-v.pdf
13:54:07	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-x.pdf
13:54:23	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/clemente-iv.pdf
13:54:39	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/urbanus-iv/it.pdf
13:54:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/alessandro-iv.pdf
13:55:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/innocentius-iv/it.pdf
13:55:29	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/celestino-iv.pdf
13:55:45	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/gregorius-ix/it.pdf
13:56:01	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/onorio-iii.pdf
13:56:16	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/innocenzo-iii.pdf
13:56:31	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/celestino-iii.pdf
13:56:47	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/clemente-iii.pdf
13:57:01	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-viii.pdf
13:57:15	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/urbano-iii.pdf
13:57:28	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/lucio-iii.pdf
13:57:43	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/alessandro-iii.pdf
13:57:58	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/adriano-iv.pdf
13:58:12	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/anastasio-iv.pdf
13:58:25	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/eugenio-iii.pdf
13:58:41	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/lucio-ii.pdf
13:58:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/celestino-ii.pdf
13:59:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/innocenzo-ii.pdf
13:59:26	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/onorio-ii.pdf
13:59:40	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/callisto-ii.pdf
13:59:56	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gelasio-ii.pdf
14:00:12	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pasquale-ii.pdf
14:00:27	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/urbano-ii.pdf
14:00:42	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/vittore-iii.pdf
14:00:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-vii.pdf
14:01:12	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/alessandro-ii.pdf
14:01:27	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/niccolo-ii.pdf
14:01:41	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-ix--x.pdf
14:01:55	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/vittore-ii.pdf
14:02:10	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-ix.pdf
14:02:25	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/damaso-ii.pdf
14:02:39	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-ix-3.pdf
14:02:54	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/clemente-ii.pdf
14:03:10	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-vi.pdf
14:03:24	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-ix-2.pdf
